ID;book_ID;reviewer;rating;title;comment
301;201;Alice;5;Haunting;Could not put it down, Heathcliff is unforgettable.
302;201;Bob;4;Windy and wild;Dense in places but the ending pays off.
303;207;Alice;5;All-time favourite;Jane is fierce and independent.
304;253;Charlie;5;Chillingly relevant;Reads like tomorrow's news.
305;253;Dana;4;Bleak but brilliant;Essential reading, pace dips in part two.
306;254;Eve;5;Perfect puzzle;Did not guess the ending.
307;255;Frank;4;Grand ideas;Classic sci-fi world building.
308;252;Grace;5;Witty and warm;Elizabeth Bennet is iconic.
309;251;Hank;5;Pure rhythm;Read it aloud, stunning.
310;259;Ivy;2;Slow start;Lost interest halfway, finished for the twist.
